N,Identifier,dist(asec),prob. member,link ref,Mag U,Mag B,Mag V,Mag R,"#ref 
1850 - 2019"
9230,LGGS J004338.76+414915.1,2079.14,0,2016ApJ...825...50G,,18.42,18.16,,2
9231,LGGS J004338.76+414915.1,2079.14,75,2009ApJ...703..441D,,18.42,18.16,,2
4329,LGGS J004339.37+413925.8,1528.69,75,2003AJ....126..175B,,22.31,21.9,,3
4330,LGGS J004339.44+413311.2,1196.51,90,2003AJ....126..175B,,,21.23,,2
4331,LGGS J004341.15+413735.4,1437.35,90,2003AJ....126..175B,,20.8,20.3,,2
1680,LGGS J004346.99+411226.5,740.6,100,2006AJ....131.2478M,19.827,18.696,17.47,16.716,3
4334,LGGS J004347.09+413720.8,1455.73,75,2003AJ....126..175B,,,21.73,,2
9266,LGGS J004348.01+415406.2,2387.9,0,2016ApJ...825...50G,,18.89,18.3,,2
9267,LGGS J004348.01+415406.2,2387.9,75,2009ApJ...703..441D,,18.89,18.3,,2
2436,LGGS J004353.97+411255.6,808.64,75,2009ApJ...703..420M,,22.266,19.936,18.523,3
4352,LGGS J004354.47+413702.2,1481.63,100,2016ApJ...826...56R,,,,,5
4358,LGGS J004357.99+414611.2,1984.27,75,2003AJ....126..175B,,20.5,19.1,,2
4360,LGGS J004358.12+415028.5,2221.03,90,2003AJ....126..175B,,20.53,20.45,,3
4366,LGGS J004400.57+415058.4,2259.14,75,2003AJ....126..175B,,18.64,18.1,,2
4372,LGGS J004402.15+415043.4,2252.09,90,2003AJ....126..175B,,21.83,20.91,,2
1540,LGGS J004403.39+411518.8,892.77,100,2012ApJ...759...11N,,,,,2
4377,LGGS J004404.60+414852.1,2161.29,90,2003AJ....126..175B,,20.6,20.17,,3
4381,LGGS J004407.55+414745.9,2115.55,90,2003AJ....126..175B,,21.04,20.26,,2
9330,LGGS J004409.23+415941.1,2781.46,0,2016ApJ...825...50G,,18.04,17.42,,2
9331,LGGS J004409.23+415941.1,2781.46,75,2009ApJ...703..441D,,18.04,17.42,,2
9333,LGGS J004409.98+420121.1,2878.31,0,2016ApJ...825...50G,,18.02,17.42,,2
9334,LGGS J004409.98+420121.1,2878.31,75,2009ApJ...703..441D,,18.02,17.42,,2
5930,LGGS J004410.62+411759.7,979.06,25,2009AJ....137...94C,18.3,18.03,17.54,17.4,5
5931,LGGS J004410.62+411759.7,979.06,75,2007AJ....134..706K,18.3,18.03,17.54,17.4,5
5932,LGGS J004410.62+411759.7,979.06,75,2009ApJ...703..441D,18.3,18.03,17.54,17.4,5
5933,LGGS J004410.62+411759.7,979.06,100,2016ApJ...825...50G,18.3,18.03,17.54,17.4,5
1541,LGGS J004410.91+411623.2,976.18,100,2012ApJ...759...11N,,,,,2
6816,LGGS J004412.17+413324.2,1432.03,75,2003AJ....126..175B,17.021,17.675,17.33,17.089,4
6817,LGGS J004412.17+413324.2,1432.03,100,2006AJ....131.2478M,17.021,17.675,17.33,17.089,4
4400,LGGS J004412.19+414944.0,2244.64,90,2003AJ....126..175B,,21.62,20.93,,2
4401,LGGS J004413.03+414747.0,2144.58,90,2003AJ....126..175B,,21.23,20.57,,2
6949,LGGS J004416.10+412003.5,1060.71,100,2006AJ....131.2478M,17.141,17.881,17.73,17.59,1
4415,LGGS J004418.66+414912.7,2250.07,90,2003AJ....126..175B,,21.28,20.45,,2
4422,LGGS J004421.51+413636.2,1644.11,75,2003AJ....126..175B,,19.2,18.94,,3
3048,LGGS J004424.80+413902.3,1779.08,90,2003AJ....126..175B,,19.98,20.04,,4
4435,LGGS J004426.27+413600.7,1654.51,90,2003AJ....126..175B,,20.26,19.54,,2
4436,LGGS J004426.50+414210.1,1938.87,75,2003AJ....126..175B,,22.72,21.87,,3
1932,LGGS J004427.23+413608.3,1667.46,90,2003AJ....126..175B,,20.19,20.03,,4
1704,LGGS J004427.76+412209.8,1220.23,75,2009ApJ...703..441D,18.9,18.29,17.26,16.6,4
1705,LGGS J004427.76+412209.8,1220.23,100,2016ApJ...825...50G,18.9,18.29,17.26,16.6,4
1935,LGGS J004428.67+413632.0,1695.72,90,2003AJ....126..175B,,21.8,20.97,,3
4449,LGGS J004430.64+415141.1,2444.34,75,2003AJ....126..175B,,18.75,18.23,,2
2092,LGGS J004431.19+412608.2,1344.53,100,2015MNRAS.451..724W,,,,,3
9366,LGGS J004432.41+412947.5,1466.88,0,2016ApJ...825...50G,,17.78,17.05,,2
9367,LGGS J004432.41+412947.5,1466.88,75,2009ApJ...703..441D,,17.78,17.05,,2
4454,LGGS J004432.51+415157.7,2469.01,75,2003AJ....126..175B,,18.36,17.94,,2
4455,LGGS J004432.75+414600.9,2167.45,75,2003AJ....126..175B,,20.68,19.87,,3
1707,LGGS J004432.95+413734.4,1774.14,100,2006AJ....131.2478M,20.925,19.841,18.296,17.226,3
4456,LGGS J004433.60+415109.5,2433.19,90,2003AJ....126..175B,,,20.97,,2
1543,LGGS J004436.52+412202.0,1312.61,100,2012ApJ...759...11N,,,,,2
9546,LGGS J004438.75+415553.6,2709.05,100,2006AJ....131.2478M,16.633,17.494,17.253,16.858,1
2117,LGGS J004440.60+412704.1,1464.4,75,2009ApJ...703..441D,20.5,19.55,18.22,17.5,3
2118,LGGS J004440.60+412704.1,1464.4,100,2016ApJ...825...50G,20.5,19.55,18.22,17.5,3
1819,LGGS J004440.81+413346.0,1684.11,75,2003AJ....126..175B,,21.77,21.1,,5
9379,LGGS J004441.56+412636.6,1462.13,0,2016ApJ...825...50G,,18.4,17.96,,2
9380,LGGS J004441.56+412636.6,1462.13,75,2009ApJ...703..441D,,18.4,17.96,,2
4478,LGGS J004443.49+415121.8,2501.48,75,2003AJ....126..175B,,22.07,21.59,,2
1557,LGGS J004444.27+412735.5,1515.44,100,2006AJ....131.2478M,20.517,21.311,21.156,21.054,1
9386,LGGS J004444.50+412314.3,1419.26,0,2016ApJ...825...50G,,18.22,17.57,,2
9387,LGGS J004444.50+412314.3,1419.26,75,2009ApJ...703..441D,,18.22,17.57,,2
4481,LGGS J004445.14+414720.7,2312.42,75,2003AJ....126..175B,,20.19,19.44,,2
4483,LGGS J004446.30+413132.0,1654.56,75,2003AJ....126..175B,,21.9,20.72,,2
4489,LGGS J004449.46+412513.6,1511.18,100,2006AJ....131.2478M,17.19,17.763,17.569,17.407,2
4492,LGGS J004450.29+415124.2,2545.08,90,2003AJ....126..175B,,20.65,20.55,,3
4494,LGGS J004451.38+415224.2,2601.71,90,2003AJ....126..175B,,21.53,,,2
1551,LGGS J004451.80+412906.0,1632.36,100,2006AJ....131.2478M,20.293,20.683,20.635,20.56,1
4496,LGGS J004452.42+414610.5,2306.21,75,2003AJ....126..175B,,,,,2
4499,LGGS J004453.06+412601.7,1566.59,100,2012ApJ...759...11N,,,,,2
4504,LGGS J004454.42+415134.1,2579.19,75,2003AJ....126..175B,,21.61,21.22,,3
9403,LGGS J004458.01+413217.5,1789.52,75,2009ApJ...703..441D,17.8,17.96,17.79,17.7,2
9404,LGGS J004458.01+413217.5,1789.52,100,2016ApJ...825...50G,17.8,17.96,17.79,17.7,2
9423,LGGS J004508.90+413117.8,1864.11,0,2016ApJ...825...50G,,17.73,17.12,,2
9424,LGGS J004508.90+413117.8,1864.11,75,2009ApJ...703..441D,,17.73,17.12,,2
3178,LGGS J004509.18+414021.4,2182.25,100,2012ApJ...759...11N,,,,,5
2905,LGGS J004511.60+413716.8,2086.39,100,2006AJ....131.2478M,18.062,19.062,19.115,18.931,2
2902,LGGS J004511.85+413712.9,2086.41,100,2006AJ....131.2478M,17.869,18.509,18.405,18.187,2
3560,LGGS J004517.56+413922.0,2216.16,100,2006AJ....131.2478M,17.555,18.468,18.62,18.557,7
3561,LGGS J004517.56+413922.0,2216.16,100,2012ApJ...759...11N,17.555,18.468,18.62,18.557,7
3254,LGGS J004524.26+415352.5,2889.63,100,2006AJ....131.2478M,20.457,20.79,21.156,20.974,8
3255,LGGS J004524.26+415352.5,2889.63,100,2012ApJ...759...11N,20.457,20.79,21.156,20.974,8
6953,LGGS J004528.39+414952.7,2736.72,100,2006AJ....131.2478M,16.105,16.96,16.872,16.774,1
3179,LGGS J004530.61+414639.2,2615.74,100,2012ApJ...759...11N,,,21.71,,8
3244,LGGS J004541.29+415504.0,3065.71,100,2012ApJ...759...11N,,,,,2
9547,LGGS J004542.10+415601.3,3115.29,100,2006AJ....131.2478M,16.295,17.176,17.108,17.012,1
3419,LGGS J004551.12+421015.4,3862.63,100,2012ApJ...759...11N,,,,,2
9479,LGGS J004554.48+413359.8,2392.66,0,2016ApJ...825...50G,,17.75,17.16,,2
9480,LGGS J004554.48+413359.8,2392.66,75,2009ApJ...703..441D,,17.75,17.16,,2
9486,LGGS J004559.84+414038.2,2644.03,0,2016ApJ...825...50G,,17.93,17.71,,2
9487,LGGS J004559.84+414038.2,2644.03,75,2009ApJ...703..441D,,17.93,17.71,,2
9500,LGGS J004618.59+414410.9,2937.02,0,2009ApJ...703..441D,,15.87,15.22,,2
9501,LGGS J004618.59+414410.9,2937.02,0,2016ApJ...825...50G,,15.87,15.22,,2
9548,LGGS J004623.14+413847.5,2810.6,100,2006AJ....131.2478M,15.538,16.277,16.14,16.012,2
3420,LGGS J004645.02+421301.3,4348.57,100,2012ApJ...759...11N,,,,,2
9528,LGGS J004658.64+414948.4,3497.61,0,2016ApJ...825...50G,,18.78,18.3,,2
9529,LGGS J004658.64+414948.4,3497.61,75,2009ApJ...703..441D,,18.78,18.3,,2
2560,LP 193-429,2265.8,0,2009ApJ...703..441D,,18.75,,16.4,3
1968,M 32,1453.17,100,2011A&A...526A.114T,9.51,9.03,8.08,,1951
10,M31GC J003241+400133,8191.99,100,2009AJ....137...94C,16.95,16.94,15.82,,7
14,M31GC J003519+400911,6463.31,0,2009AJ....137...94C,,,19.7,,9
15,M31GC J003552+402101,5731.14,0,2009AJ....137...94C,,,18.9,,9
534,M31GC J003729+395700,5950.16,0,2009AJ....137...94C,,,19.7,,10
535,M31GC J003729+395700,5950.16,0,2010MNRAS.402..803P,,,19.7,,10
540,M31GC J003757+402446,4481.51,0,2009AJ....137...94C,,,19.33,,8
3062,M31GC J003758+423147,5549.42,0,2009AJ....137...94C,18.89,18.75,17.96,,8
543,M31GC J003854+395129,5715.9,0,2009AJ....137...94C,,,18.34,,9
544,M31GC J003854+402646,3946.66,0,2009AJ....137...94C,,,19.42,,14
545,M31GC J003854+402646,3946.66,75,2010MNRAS.402..803P,,,19.42,,14
546,M31GC J003854+402646,3946.66,100,2009AJ....137...94C,,,19.42,,14
1270,M31GC J003855+411029,2607.34,75,2010MNRAS.402..803P,,18.19,17.24,,8
547,M31GC J003913+400732,4764.13,0,2009AJ....137...94C,,,18.8,,14
548,M31GC J003913+400732,4764.13,0,2010MNRAS.402..803P,,,18.8,,14
528,M31GC J003919+411029,2337.87,75,2010MNRAS.402..803P,16.11,16.82,16.54,,7
3066,M31GC J003938+420928,3847.71,75,2010MNRAS.402..803P,,17.49,16.84,,10
3067,M31GC J003938+420928,3847.71,100,2009AJ....137...94C,,17.49,16.84,,10
549,M31GC J003951+401815,3993.07,100,2009AJ....137...94C,,19.49,17.81,,18
550,M31GC J003951+401815,3993.07,100,2010MNRAS.402..803P,,19.49,17.81,,18
2267,M31GC J004023+414045,2171.96,75,2010MNRAS.402..803P,,,18.289,,7
2268,M31GC J004023+414045,2171.96,100,2009AJ....137...94C,,,18.289,,7
2269,M31GC J004027+414225,2204.37,75,2010MNRAS.402..803P,,,19.691,,12
2270,M31GC J004027+414225,2204.37,100,2009AJ....137...94C,,,19.691,,12
2271,M31GC J004030+404530,2381.77,100,2008ApJS..177..174N,15.694,,16.387,16.267,16
2272,M31GC J004030+404530,2381.77,100,2009AJ....137...94C,15.694,,16.387,16.267,16
2273,M31GC J004030+404530,2381.77,100,2010MNRAS.402..803P,15.694,,16.387,16.267,16
529,M31GC J004031+402628,3340.33,75,2010MNRAS.402..803P,,18.38,18.2,,7
2274,M31GC J004031+404454,2408.4,75,2010MNRAS.402..803P,16.934,15.09,17.835,17.716,12
2275,M31GC J004031+404454,2408.4,100,2008ApJS..177..174N,16.934,15.09,17.835,17.716,12
2276,M31GC J004031+404454,2408.4,100,2009AJ....137...94C,16.934,15.09,17.835,17.716,12
2277,M31GC J004031+412627,1624.94,0,2009AJ....137...94C,,,20.93,,5
2278,M31GC J004031+412627,1624.94,0,2010MNRAS.402..803P,,,20.93,,5
2280,M31GC J004037+403321,2942.98,100,2007PASP..119....7K,21.257,20.67,19.77,19.678,11
2281,M31GC J004037+403321,2942.98,100,2008ApJS..177..174N,21.257,20.67,19.77,19.678,11
2282,M31GC J004037+403321,2942.98,100,2009AJ....137...94C,21.257,20.67,19.77,19.678,11
2283,M31GC J004037+403321,2942.98,100,2010MNRAS.402..803P,21.257,20.67,19.77,19.678,11
2284,M31GC J004045+405308,1930.37,100,2008ApJS..177..174N,20.745,,19.61,19.366,11
2285,M31GC J004045+405308,1930.37,100,2009AJ....137...94C,20.745,,19.61,19.366,11
2286,M31GC J004045+405308,1930.37,100,2010MNRAS.402..803P,20.745,,19.61,19.366,11
4050,M31GC J004051+403327,2861.57,75,2010MNRAS.402..803P,20.124,18.76,19.3,18.853,12
4051,M31GC J004051+403327,2861.57,100,2004PASJ...56.1025K,20.124,18.76,19.3,18.853,12
4052,M31GC J004051+403327,2861.57,100,2008ApJS..177..174N,20.124,18.76,19.3,18.853,12
4053,M31GC J004051+403327,2861.57,100,2009AJ....137...94C,20.124,18.76,19.3,18.853,12
2287,M31GC J004051+404039,2486.93,75,2010MNRAS.402..803P,22.043,,19.86,19.82,15
2288,M31GC J004051+404039,2486.93,100,2007PASP..119....7K,22.043,,19.86,19.82,15
2289,M31GC J004051+404039,2486.93,100,2008ApJS..177..174N,22.043,,19.86,19.82,15
2290,M31GC J004051+404039,2486.93,100,2009AJ....137...94C,22.043,,19.86,19.82,15
2291,M31GC J004103+403458,2723.5,100,2007PASP..119....7K,18.821,,18.804,18.565,13
2292,M31GC J004103+403458,2723.5,100,2008ApJS..177..174N,18.821,,18.804,18.565,13
2293,M31GC J004103+403458,2723.5,100,2009AJ....137...94C,18.821,,18.804,18.565,13
2294,M31GC J004103+403458,2723.5,100,2010MNRAS.402..803P,18.821,,18.804,18.565,13
2561,M31GC J004112+410532,1220.18,100,2009AJ....137...94C,18.5,18.11,17.43,,26
2562,M31GC J004112+410532,1220.18,100,2010MNRAS.402..803P,18.5,18.11,17.43,,26
494,M31GC J004113+410950,1103.87,100,2009AJ....137...94C,20.19,19.07,19.06,,13
495,M31GC J004113+410950,1103.87,100,2010MNRAS.402..803P,20.19,19.07,19.06,,13
559,M31GC J004123+402833,2999.16,0,2009AJ....137...94C,,19.28,18.75,,10
560,M31GC J004123+402833,2999.16,0,2010MNRAS.402..803P,,19.28,18.75,,10
2295,M31GC J004146+413326,1229.36,75,2010MNRAS.402..803P,,,20.82,,6
2296,M31GC J004146+413326,1229.36,100,2009AJ....137...94C,,,20.82,,6
2297,M31GC J004200+404746,1771.98,100,2009AJ....137...94C,,,19.8,,6
2298,M31GC J004200+404746,1771.98,100,2010MNRAS.402..803P,,,19.8,,6
566,M31GC J004209+405053,1567.39,0,2009AJ....137...94C,18.06,18.56,20.08,18.09,11
567,M31GC J004210+403804,2316.51,0,2009AJ....137...94C,,,18.8,,9
568,M31GC J004210+403804,2316.51,0,2010MNRAS.402..803P,,,18.8,,9
569,M31GC J004211+401856,3452.73,0,2009AJ....137...94C,,,18.7,,12
570,M31GC J004211+401856,3452.73,0,2010MNRAS.402..803P,,,18.7,,12
412,M31GC J004225+411754,242.1,25,2009AJ....137...94C,,20.8,19.3,16.72,7
413,M31GC J004225+411754,242.1,75,2010MNRAS.402..803P,,20.8,19.3,16.72,7
453,M31GC J004226+411713,213.85,0,2009AJ....137...94C,,,19.87,,4
416,M31GC J004226+411735,223.58,0,2009AJ....137...94C,,,20.02,,4
446,M31GC J004226+411947,304.26,25,2009AJ....137...94C,,,18.73,18.91,6
447,M31GC J004226+411947,304.26,75,2010MNRAS.402..803P,,,18.73,18.91,6
460,M31GC J004227+411507,208.31,0,2009AJ....137...94C,,18.8,18.37,17.78,6
414,M31GC J004227+411709,204.47,0,2009AJ....137...94C,,19.84,18.57,,7
211,M31GC J004227+411804,231.14,0,2009AJ....137...94C,,19.15,17.17,16.92,13
212,M31GC J004227+411804,231.14,0,2010MNRAS.402..803P,,19.15,17.17,16.92,13
213,M31GC J004227+411804,231.14,100,2016ApJ...824...42C,,19.15,17.17,16.92,13
2520,M31GC J004227+411811,234,75,2010MNRAS.402..803P,,,,,6
2299,M31GC J004228+403330,2564.45,0,2009AJ....137...94C,,,21.195,,5
2300,M31GC J004228+403330,2564.45,0,2010MNRAS.402..803P,,,21.195,,5
468,M31GC J004229+411315,247.41,0,2009AJ....137...94C,,19.7,19.45,,8
487,M31GC J004229+411750,202.08,0,2009AJ....137...94C,,,18.85,,4
426,M31GC J004229+412000,286.17,0,2009AJ....137...94C,,18.7,17.54,16.52,7
469,M31GC J004230+411303,246.77,0,2009AJ....137...94C,,20.8,19.75,,8
432,M31GC J004230+411336,222.88,0,2009AJ....137...94C,,,19.96,,5
451,M31GC J004230+411842,221.93,0,2009AJ....137...94C,,15.76,14.93,14.23,5
444,M31GC J004230+411953,279.67,0,2009ApJ...703..441D,,17.06,16.26,15.66,7
445,M31GC J004230+411953,279.67,25,2009AJ....137...94C,,17.06,16.26,15.66,7
465,M31GC J004231+411337,209.06,0,2009AJ....137...94C,17.2,16.7,16.12,15.59,12
466,M31GC J004231+411337,209.06,0,2009ApJ...703..441D,17.2,16.7,16.12,15.59,12
456,M31GC J004231+411539,154.01,25,2009AJ....137...94C,,19.94,18.7,18.1,5
457,M31GC J004231+411539,154.01,75,2010MNRAS.402..803P,,19.94,18.7,18.1,5
424,M31GC J004231+412020,291.55,0,2009AJ....137...94C,,,19.51,,7
467,M31GC J004232+411328,212.54,0,2009AJ....137...94C,,19.71,18.41,18.04,7
401,M31GC J004232+411546,143.02,75,2010MNRAS.402..803P,,19.96,19.7,18.41,6
402,M31GC J004232+411546,143.02,100,2009AJ....137...94C,,19.96,19.7,18.41,6
427,M31GC J004232+411922,237.43,0,2009AJ....137...94C,,18.44,17.75,17.25,5
1963,M31GC J004232+411948,262.45,0,2009AJ....137...94C,,,18.78,,9
417,M31GC J004233+411613,127.76,0,2009AJ....137...94C,,,19.88,,5
433,M31GC J004234+411702,125.16,0,2009AJ....137...94C,,,19.6,,4
504,M31GC J004235+405544,1228.54,75,2010MNRAS.402..803P,,,,,8
470,M31GC J004235+411150,278.63,0,2009AJ....137...94C,,,17.6,,7
431,M31GC J004235+411451,128.45,0,2009AJ....137...94C,,,19.72,,5
407,M31GC J004235+411747,142.48,75,2010MNRAS.402..803P,22.07,19.54,19.37,17.68,13
408,M31GC J004235+411747,142.48,75,2012ApJ...752...95J,22.07,19.54,19.37,17.68,13
409,M31GC J004235+411747,142.48,100,2009AJ....137...94C,22.07,19.54,19.37,17.68,13
410,M31GC J004235+411747,142.48,100,2016ApJ...824...42C,22.07,19.54,19.37,17.68,13
443,M31GC J004235+411959,253.51,0,2009AJ....137...94C,,20.32,18.21,17.69,7
435,M31GC J004236+411314,197.32,75,2010MNRAS.402..803P,,,,,9
406,M31GC J004237+411746,127.64,0,2009AJ....137...94C,,19.37,19.82,18.47,4
418,M31GC J004238+411327,177.66,0,2009AJ....137...94C,,,19.26,,8
405,M31GC J004238+411336,166.04,0,2009AJ....137...94C,,,18.72,,7
454,M31GC J004238+411646,76.32,0,2009AJ....137...94C,,16.18,20.04,14.54,9
489,M31GC J004238+411826,158.09,0,2009AJ....137...94C,,,19.58,,4
448,M31GC J004238+411918,205.67,0,2009AJ....137...94C,16.45,16.27,15.57,14.87,11
449,M31GC J004238+411918,205.67,0,2009ApJ...703..441D,16.45,16.27,15.57,14.87,11
403,M31GC J004239+411340,158.13,0,2009AJ....137...94C,,19.55,18.39,17.05,7
477,M31GC J004240+411306,189.92,0,2009AJ....137...94C,,16.2,15.65,15.15,11
574,M31GC J004243+402927,2800.78,100,2009AJ....137...94C,,,16.84,,17
575,M31GC J004243+402927,2800.78,100,2010MNRAS.402..803P,,,16.84,,17
576,M31GC J004243+402927,2800.78,100,2016ApJ...824...42C,,,16.84,,17
439,M31GC J004244+411423,104.18,75,2010MNRAS.402..803P,,,19.53,,8
440,M31GC J004244+411423,104.18,100,2009AJ....137...94C,,,19.53,,8
471,M31GC J004245+411903,176.05,0,2009AJ....137...94C,,16.25,15.66,14.99,9
411,M31GC J004246+411752,107.36,0,2009AJ....137...94C,,19.55,19.1,18.46,5
478,M31GC J004247+411209,240.95,0,2009AJ....137...94C,,17.51,16.69,,6
479,M31GC J004247+411209,240.95,0,2009ApJ...703..441D,,17.51,16.69,,6
482,M31GC J004248+411537,51.12,0,2009AJ....137...94C,,16.13,15.32,,9
420,M31GC J004248+411601,43.95,75,2010MNRAS.402..803P,20.17,19,18.097,,15
421,M31GC J004248+411601,43.95,100,2009AJ....137...94C,20.17,19,18.097,,15
422,M31GC J004248+411601,43.95,100,2012ApJ...752...95J,20.17,19,18.097,,15
423,M31GC J004248+411601,43.95,100,2016ApJ...824...42C,20.17,19,18.097,,15
481,M31GC J004249+411541,63.71,0,2009AJ....137...94C,,18.51,17.85,,7
2305,M31GC J004251+405841,1048.69,75,2010MNRAS.402..803P,,,20.45,,7
2306,M31GC J004251+405841,1048.69,100,2009AJ....137...94C,,,20.45,,7
486,M31GC J004251+411230,230.63,0,2009AJ....137...94C,,16.6,,,6
437,M31GC J004251+411436,118.93,25,2009AJ....137...94C,,,19.31,,8
438,M31GC J004251+411436,118.93,75,2010MNRAS.402..803P,,,19.31,,8
429,M31GC J004252+411255,211.46,0,2009AJ....137...94C,,20.25,19.1,18.12,5
419,M31GC J004254+411244,227.97,0,2009AJ....137...94C,,,19.52,,6
488,M31GC J004254+411520,119.96,25,2009AJ....137...94C,,19.51,19.31,,6
428,M31GC J004256+411349,192.07,0,2009AJ....137...94C,,19.85,19.23,,6
484,M31GC J004256+411432,161.74,0,2009AJ....137...94C,,19.65,18.71,,5
2307,M31GC J004257+404916,1617.26,0,2009AJ....137...94C,,,20.271,,6
2308,M31GC J004257+404916,1617.26,0,2010MNRAS.402..803P,,,20.271,,6
485,M31GC J004257+411418,183.67,0,2009AJ....137...94C,,19.24,18.79,17.79,4
404,M31GC J004258+411251,247.8,0,2009AJ....137...94C,,,19.66,,5
2312,M31GC J004304+405129,1494.41,0,2009AJ....137...94C,,,19.666,,5
2313,M31GC J004304+405129,1494.41,0,2010MNRAS.402..803P,,,19.666,,5
525,M31GC J004308+411653,271.86,0,2009AJ....137...94C,,16.6,15.72,,8
2337,M31GC J004312+405303,1419.09,0,2009AJ....137...94C,,,20.67,,9
2338,M31GC J004312+405303,1419.09,0,2010MNRAS.402..803P,,,20.67,,9
2317,M31GC J004312+410249,857.65,75,2010MNRAS.402..803P,,,18.93,,8
2318,M31GC J004312+410249,857.65,100,2009AJ....137...94C,,,18.93,,8
506,M31GC J004313+412812,789.99,0,2009AJ....137...94C,21.41,19.93,18.73,,7
2935,M31GC J004324+414554,1843.09,0,2009AJ....137...94C,,,16.8,,7
1310,M31GC J004327+404727,1787.51,0,2009AJ....137...94C,,19.21,17.63,16.59,8
2028,M31GC J004345+411812,696.07,100,2009AJ....137...94C,19.56,,19.38,,14
2029,M31GC J004345+411812,696.07,100,2010MNRAS.402..803P,19.56,,19.38,,14
2030,M31GC J004354+411412,797.18,100,2009AJ....137...94C,18.52,,18.47,,12
2031,M31GC J004354+411412,797.18,100,2010MNRAS.402..803P,18.52,,18.47,,12
2033,M31GC J004358+412133,891.77,100,2009AJ....137...94C,20.29,,19.93,,11
2034,M31GC J004358+412133,891.77,100,2010MNRAS.402..803P,20.29,,19.93,,11
3084,M31GC J004401+423447,4797.39,100,2009AJ....137...94C,17.64,17.811,17.008,16.531,25
3085,M31GC J004401+423447,4797.39,100,2010MNRAS.402..803P,17.64,17.811,17.008,16.531,25
3086,M31GC J004401+423447,4797.39,100,2016ApJ...824...42C,17.64,17.811,17.008,16.531,25
2038,M31GC J004403+412140,944.95,75,2010MNRAS.402..803P,20.44,,18.77,,12
2039,M31GC J004403+412140,944.95,100,2009AJ....137...94C,20.44,,18.77,,12
2040,M31GC J004408+412354,1052.02,100,2009AJ....137...94C,20.12,,19.53,,12
2041,M31GC J004408+412354,1052.02,100,2010MNRAS.402..803P,20.12,,19.53,,12
3157,M31GC J004412+415850,2745.22,0,2009ApJ...703..441D,17.15,17.18,16.65,,8
3158,M31GC J004412+415850,2745.22,25,2009AJ....137...94C,17.15,17.18,16.65,,8
2044,M31GC J004414+412219,1075.72,100,2009AJ....137...94C,17.7,,18.53,,13
2045,M31GC J004414+412219,1075.72,100,2010MNRAS.402..803P,17.7,,18.53,,13
2933,M31GC J004415+415525,2565.64,75,2010MNRAS.402..803P,17.08,17.12,16.54,,7
2046,M31GC J004419+412110,1107.74,100,2009AJ....137...94C,18.95,,18.65,,12
2047,M31GC J004419+412110,1107.74,100,2010MNRAS.402..803P,18.95,,18.65,,12
2048,M31GC J004420+412409,1176.77,100,2009AJ....137...94C,19.13,,18.64,,12
2049,M31GC J004420+412409,1176.77,100,2010MNRAS.402..803P,19.13,,18.64,,12
2050,M31GC J004420+412720,1271.87,100,2009AJ....137...94C,,,20.23,,11
2051,M31GC J004422+413340,1521.66,100,2009AJ....137...94C,20.15,,19.14,,12
2052,M31GC J004422+413340,1521.66,100,2012ApJ...752...95J,20.15,,19.14,,12
2053,M31GC J004424+413359,1552.41,100,2009AJ....137...94C,19.43,,18.9,,14
2054,M31GC J004424+413359,1552.41,100,2010MNRAS.402..803P,19.43,,18.9,,14
2055,M31GC J004424+413359,1552.41,100,2012ApJ...752...95J,19.43,,18.9,,14
2059,M31GC J004431+412755,1398.85,100,2009AJ....137...94C,21.68,,19.59,,13
2060,M31GC J004431+412755,1398.85,100,2010MNRAS.402..803P,21.68,,19.59,,13
2056,M31GC J004431+413005,1466.76,100,2008PASP..120....1K,19.44,19.61,19.18,,16
2057,M31GC J004431+413005,1466.76,100,2009AJ....137...94C,19.44,19.61,19.18,,16
2058,M31GC J004431+413005,1466.76,100,2010MNRAS.402..803P,19.44,19.61,19.18,,16
2061,M31GC J004434+412103,1270.17,100,2009AJ....137...94C,19.48,,18.87,,11
2062,M31GC J004434+412103,1270.17,100,2010MNRAS.402..803P,19.48,,18.87,,11
2939,M31GC J004435+415328,2559.81,100,2009AJ....137...94C,17.35,17.74,18.32,,21
2940,M31GC J004435+415328,2559.81,100,2010MNRAS.402..803P,17.35,17.74,18.32,,21
2941,M31GC J004435+415328,2559.81,100,2012ApJ...752...95J,17.35,17.74,18.32,,21
2066,M31GC J004436+413533,1716.48,100,2007PASP..119....7K,20.92,19.39,18.73,,16
2067,M31GC J004436+413533,1716.48,100,2009AJ....137...94C,20.92,19.39,18.73,,16
2068,M31GC J004436+413533,1716.48,100,2010MNRAS.402..803P,20.92,19.39,18.73,,16
2069,M31GC J004436+413533,1716.48,100,2012ApJ...752...95J,20.92,19.39,18.73,,16
2534,M31GC J004438+412852,1488.78,75,2010MNRAS.402..803P,20.36,,18.84,,14
2535,M31GC J004438+412852,1488.78,100,2009AJ....137...94C,20.36,,18.84,,14
2073,M31GC J004440+412428,1392.36,100,2009AJ....137...94C,18.68,,18.26,,18
2074,M31GC J004440+412428,1392.36,100,2010MNRAS.402..803P,18.68,,18.26,,18
2075,M31GC J004441+413006,1555.16,100,2009AJ....137...94C,20.17,,19.47,,14
2076,M31GC J004441+413006,1555.16,100,2010MNRAS.402..803P,20.17,,19.47,,14
3136,M31GC J004457+414802,2427.76,75,2010MNRAS.402..803P,21.46,,19.09,,11
