N,Identifier,dist(asec),prob. member,link ref,Mag U,Mag B,Mag V,Mag R,"#ref 
1850 - 2019"
9344,[DMM2009] J004415.48+412602.5,1186.43,0,2009ApJ...703..441D,,18.39,17.16,,1
9345,[DMM2009] J004415.54+411119.4,1068.53,0,2009ApJ...703..441D,,18.1,17.12,,1
9346,[DMM2009] J004415.57+411112.7,1070.77,0,2009ApJ...703..441D,,17.99,17.09,,1
9347,[DMM2009] J004415.75+420131.9,2910.54,0,2009ApJ...703..441D,,18.65,17.91,,1
9348,[DMM2009] J004416.39+412102.9,1078.44,0,2009ApJ...703..441D,,16.84,16.52,,1
9349,[DMM2009] J004417.00+420738.8,3260.74,0,2009ApJ...703..441D,,17.78,17,,1
9350,[DMM2009] J004418.57+410914.6,1140.92,0,2009ApJ...703..441D,,17.5,16.77,,1
9351,[DMM2009] J004418.91+410347.8,1299.41,0,2009ApJ...703..441D,,18.2,17.38,,1
9352,[DMM2009] J004419.14+420238.1,2985.89,0,2009ApJ...703..441D,,18.78,17.96,,1
9353,[DMM2009] J004419.16+412542.2,1212.43,0,2009ApJ...703..441D,,17.42,16.54,,1
9354,[DMM2009] J004419.27+420618.0,3192.71,0,2009ApJ...703..441D,,19.5,18.13,,1
9355,[DMM2009] J004421.40+412538.6,1233.04,0,2009ApJ...703..441D,,17.96,17.41,,1
9356,[DMM2009] J004423.01+412235.3,1177.34,0,2009ApJ...703..441D,,16.95,16.18,,1
2111,[DMM2009] J004424.99+412042.7,1167.23,0,2009ApJ...703..441D,,16.97,16.59,,2
9357,[DMM2009] J004427.09+412438.5,1265.07,0,2009ApJ...703..441D,,16.98,16.44,,1
9358,[DMM2009] J004427.40+411749.2,1166.36,0,2009ApJ...703..441D,,16.14,15.62,,1
9359,[DMM2009] J004427.94+412531.0,1295.43,0,2009ApJ...703..441D,,16.64,15.95,,1
9360,[DMM2009] J004428.64+420958.8,3435.63,0,2009ApJ...703..441D,,16.04,15.48,,1
9361,[DMM2009] J004430.56+412205.6,1249.16,0,2009ApJ...703..441D,,17.35,16.59,,1
9362,[DMM2009] J004430.73+412533.6,1324.91,0,2009ApJ...703..441D,,17.23,16.53,,1
9363,[DMM2009] J004431.65+412916.8,1442.73,0,2009ApJ...703..441D,,16.75,15.55,,1
9364,[DMM2009] J004432.09+411700.1,1216.11,0,2009ApJ...703..441D,,17.71,17.08,,1
9365,[DMM2009] J004432.30+413007.1,1476.82,0,2009ApJ...703..441D,,16.66,16.07,,1
9368,[DMM2009] J004432.67+420918.6,3413.68,0,2009ApJ...703..441D,,17.04,16.46,,1
9369,[DMM2009] J004434.74+412642.0,1395.56,0,2009ApJ...703..441D,,18.82,18.08,,1
9370,[DMM2009] J004434.84+421737.2,3890.86,0,2009ApJ...703..441D,,16.05,15.06,,1
9371,[DMM2009] J004434.90+413008.0,1501.5,0,2009ApJ...703..441D,,16.98,16.46,,1
9372,[DMM2009] J004435.29+421109.2,3527.44,0,2009ApJ...703..441D,,16.64,16.03,,1
9373,[DMM2009] J004436.41+412315.4,1332.99,0,2009ApJ...703..441D,,16.97,16.27,,1
9374,[DMM2009] J004436.74+413022.6,1526.84,0,2009ApJ...703..441D,,17.4,16.59,,1
9375,[DMM2009] J004439.62+412853.0,1506.47,0,2009ApJ...703..441D,,16.54,16.02,,1
